,id,name,neighbourhood,latitude,longitude,room_type,calculated_host_listings_count,license
201,4092562,Stay in Comfort Stay in Style,Santa Clara,37.39651,-121.95792,Entire home/apt,2,
202,937489,HackerHome - Sunnyvale: female only room,Sunnyvale,37.38797,-122.02644,Shared room,37,
203,4099330,Private Room #1 Downtown San Jose,San Jose,37.33702,-121.88307,Private room,2,
204,943009,Luxurious Single Family House,San Jose,37.41933,-121.85892,Entire home/apt,1,
205,5411768,Private Room near San Jose Downtown,San Jose,37.33296,-121.91188,Private room,1,
206,4105520,The Bronze Room,San Jose,37.29079,-121.8157,Private room,4,
207,4113230,Sequoia Redwood Garden in Sunnyvale,Sunnyvale,37.38604,-122.04444,Private room,2,
208,5423728,Modern home close to airport & downtown,San Jose,37.34448,-121.89993,Entire home/apt,1,
209,5447833,"Santana Row Condo #2 Super Host, Silicon Valley SJ",San Jose,37.32265,-121.9483,Entire home/apt,2,
210,944400,Friendly comfort in Palo Alto,Palo Alto,37.42016,-122.1322,Private room,3,
211,952133,Handel Queen Bedroom in Happy Home!,San Jose,37.27311,-121.80978,Private room,3,
212,4143270,Amazing and comfortable full apt,Mountain View,37.40415,-122.0742,Entire home/apt,1,
213,5459004,Cozy sunny room San Jose Campbell,San Jose,37.29871,-121.98571,Private room,1,
214,4146085,Bright comfortable room,San Jose,37.26992,-121.84926,Private room,3,
215,5482158,Stay,San Jose,37.3673876,-121.8526569,Private room,1,
216,969522,Palo Alto/Stanford Garden Hideaway,Palo Alto,37.4234,-122.13892,Entire home/apt,1,
217,4165799,Modern Suite with backyard tree house access,San Jose,37.24961,-121.94892,Private room,2,
218,976347,Downtown Private Home with Backyard,Mountain View,37.39079,-122.07542,Entire home/apt,7,
219,5482480,Cozy Private Room w/Bath Nestled in Redwood Trees,Mountain View,37.40756,-122.10566,Private room,1,
220,4173544,Beautiful room with private bath near Stanford,Palo Alto,37.44281,-122.13414,Private room,1,
221,5488552,Charming Willow Glen Home with Everything,San Jose,37.308449,-121.894066,Entire home/apt,1,
222,978835,Private Bedroom+Bathroom+Entrance,Sunnyvale,37.38638,-122.01979,Private room,1,2023-2083
223,4219465,Quiet room near Stanford,Palo Alto,37.4143,-122.1379,Private room,1,
224,995505,Bach Comfy Room in a Happy Home,San Jose,37.27123,-121.81039,Private room,3,
225,1010153,"AC,gas range, HW fl, near groceries/Costco/Caltain",Sunnyvale,37.35714,-122.00085,Entire home/apt,12,
226,5561368,One Bedroom Apt @Santana Row's foot,San Jose,37.31775,-121.9477,Entire home/apt,1,
227,5601215,The Heart of Sunnyvale -beautiful Blue Room,Sunnyvale,37.39023,-122.01844,Private room,3,
228,4231492,Charming Los Gatos Cottage A,Los Gatos,37.22439,-121.96982,Entire home/apt,3,
229,5606356,"Comfortable, convenient, quiet, colorful 4 bdrm.",San Jose,37.35763,-121.87705,Entire home/apt,1,
230,1013938,WFH from Penthouse with View and location!,Cupertino,37.32386,-122.0301,Entire home/apt,1,
231,4237854,"One mile from apple campus, B&B!",San Jose,37.30718,-122.03027,Private room,1,
232,1019524,"Cozy Cottage, Private Entrance",Palo Alto,37.39109,-122.12741,Entire home/apt,2,
233,4249517,"Nice room in a big house, 3 min walk to Boulevard",Santa Clara,37.35513,-121.96897,Private room,2,
234,1024086,Cozy Redwood Studio in Foothills,Unincorporated Areas,37.19436,-122.02255,Entire home/apt,1,
235,5648497,1B1B Palo Alto studio next to Stanford（斯坦福附近）,Palo Alto,37.42406,-122.14902,Entire home/apt,2,
236,4258408,The Platinum Room,San Jose,37.29084,-121.81535,Private room,4,
237,5660700,Premium Furnished Room & Attached Private Bath,San Jose,37.41386,-121.9385,Private room,2,
238,1079815,Penthouse Condominium downtown Palo Alto,Palo Alto,37.44692,-122.15868,Entire home/apt,1,
239,4262343,Exec Palo Alto Retreat w/ In Unit Laundry & Pool,Palo Alto,37.45203,-122.12739,Entire home/apt,1,
240,1104348,•Spacious Garden View in Silicon Valley Googl•,Los Altos,37.39314,-122.10794,Private room,3,
241,5679666,Palo Alto- walk to town -Charming 4 bedroom home,Palo Alto,37.44193,-122.14528,Entire home/apt,1,
242,4277502,Junior Suite with Attd. Bath and Private Entrance!,Mountain View,37.39224,-122.06531,Private room,1,
243,4302260,"Large, luxurious 4 bd/, 3 ba home in Palo Alto",Palo Alto,37.4291,-122.13415,Entire home/apt,2,
244,5716662,Spectacular Los Gatos Hillside Views Home,Los Gatos,37.21973,-121.95632,Entire home/apt,1,
245,5750853,Beautiful Garden Green Room,Sunnyvale,37.39106,-122.01834,Private room,3,
246,1108171,2 BR/ 2 levels TH in Silicon Valley,Milpitas,37.42513,-121.91158,Entire home/apt,1,
247,1115287,Walk to Downtown Palo Alto,Palo Alto,37.45699,-122.15199,Entire home/apt,1,
248,4318893,"Spacious house 3 BR, 2.5 bath +pool prime location",San Jose,37.26287,-121.87476,Entire home/apt,1,
249,5761415,1Vegan Sculpture Garden ofSunnyvale,Sunnyvale,37.35553,-122.05228,Private room,4,2022-7374
250,4325327,"Charming cottage w/lovely gardens, close to town",Los Gatos,37.22654,-121.96698,Entire home/apt,1,
251,1117786,"Beautiful house , Perfect Location",San Jose,37.34029,-121.92168,Private room,1,
252,1118969,HackerHome - San Jose Dwtn: bunk 3,San Jose,37.34624,-121.88385,Shared room,37,
253,1122162,HackerHome - Sunnyvale: private room,Sunnyvale,37.38801,-122.02434,Private room,37,
254,4365909,"Nice, Clean, Cozy Room",San Jose,37.31649,-121.88601,Private room,7,
255,1122250,HackerHome - San Jose Dwtn: priv rm,San Jose,37.34622,-121.884,Private room,37,
256,1122273,HackerHome - Sunnyvale Plug & Play4,Sunnyvale,37.38663,-122.02461,Shared room,37,
257,5774926,"Spacious 1 BR near Great Mall, 237/880/680, VTA",Milpitas,37.43137,-121.8991,Private room,1,
258,5784888,The Garden Studio~Willow Glen,San Jose,37.29584,-121.91044,Entire home/apt,13,
259,4365934,Sweet cute room in center San Jose,San Jose,37.31575,-121.88482,Private room,7,
260,5805894,Looking for a female house mate,San Jose,37.30834,-121.91602,Private room,2,
261,1133453,Serene Gated House in 1.5 Acre resort like setting,Saratoga,37.24517,-122.0194,Entire home/apt,4,
262,1216215,"Comfy, Cozy & Affordable 3-San Jose",San Jose,37.40062,-121.82758,Private room,2,
263,4369192,Hostel 6~private budget room~shared Sunnyvale home,Sunnyvale,37.38422,-122.02,Private room,32,2017-7717
264,5825094,Willow Glen Garden Cottage~1bd/1bth,San Jose,37.29584,-121.91044,Entire home/apt,13,
265,4378059,Iris House:  Sky room in dwntn Palo Alto/Stanford,Palo Alto,37.4445,-122.15265,Private room,5,
266,1226926,HackerHome - San Jose shared room,San Jose,37.34665,-121.88535,Shared room,37,
267,4397346,Cupertino/Monta-Vista Spacious & Modern Guesthouse,Cupertino,37.31706,-122.05677,Entire home/apt,1,
268,5825468,The Garden Loft~Newly Remodeled,San Jose,37.29584,-121.91044,Entire home/apt,13,
269,4412661,硅谷中心独立带卫生间客房,San Jose,37.31264,-121.98609,Private room,1,
270,5840694,Cupertino Area Suite w 2 Bedrooms Sleeps 4,San Jose,37.30569,-122.02654,Private room,6,
271,1240799,Downtown Mountain View Rose House,Mountain View,37.39034,-122.09115,Entire home/apt,1,
